PATH,TYPE,VALUE,MTIME
/SAM/Domains/Account/Users/000001F5/V,BINARY,%00%00%00%00%B0%00%00%00%02%00%01%00%B0%00%00%00%0A%00%00%00%00%00%00%00%BC%00%00%00%00%00%00%00%00%00%00%00%BC%00%00%00p%00%00%00%00%00%00%00%2C%01%00%00%00%00%00%00%00%00%00%00%2C%01%00%00%00%00%00%00%00%00%00%00%2C%01%00%00%00%00%00%00%00%00%00%00%2C%01%00%00%00%00%00%00%00%00%00%00%2C%01%00%00%00%00%00%00%00%00%00%00%2C%01%00%00%00%00%00%00%00%00%00%00%2C%01%00%00%00%00%00%00%00%00%00%00%2C%01%00%00%00%00%00%00%00%00%00%00%2C%01%00%00%08%00%00%00%01%00%00%004%01%00%00%04%00%00%00%00%00%00%008%01%00%00%04%00%00%00%00%00%00%00<%01%00%00%04%00%00%00%00%00%00%00@%01%00%00%04%00%00%00%00%00%00%00%01%00%14%80%90%00%00%00%A0%00%00%00%14%00%00%00D%00%00%00%02%000%00%02%00%00%00%02%C0%14%00D%00%05%01%01%01%00%00%00%00%00%01%00%00%00%00%02%C0%14%00%FF%FF%1F%00%01%01%00%00%00%00%00%05%07%00%00%00%02%00L%00%03%00%00%00%00%00%14%00%1B%03%02%00%01%01%00%00%00%00%00%01%00%00%00%00%00%00%18%00%FF%07%0F%00%01%02%00%00%00%00%00%05 %00%00%00 %02%00%00%00%00%18%00%FF%07%0F%00%01%02%00%00%00%00%00%05 %00%00%00$%02%00%00%01%02%00%00%00%00%00%05 %00%00%00 %02%00%00%01%02%00%00%00%00%00%05 %00%00%00 %02%00%00G%00u%00e%00s%00t%00%00%00B%00u%00i%00l%00t%00-%00i%00n%00 %00a%00c%00c%00o%00u%00n%00t%00 %00f%00o%00r%00 %00g%00u%00e%00s%00t%00 %00a%00c%00c%00e%00s%00s%00 %00t%00o%00 %00t%00h%00e%00 %00c%00o%00m%00p%00u%00t%00e%00r%00/%00d%00o%00m%00a%00i%00n%00%01%02%00%00%07%00%00%00%01%00%01%00%01%00%01%00%01%00%01%00%01%00%01%00,
/SAM/Domains/Account/Users/000003E8,KEY,,2004-08-19 22:28:25
/SAM/Domains/Account/Users/000003E8/F,BINARY,%02%00%01%00%00%00%00%00%00%00%00%00%00%00%00%00%00%00%00%00%00%00%00%00%E0%BAj%D7;%86%C4%01%00%00%00%00%00%00%00%00%00%00%00%00%00%00%00%00%E8%03%00%00%01%02%00%00%10%02%00%00%00%00%00%00%00%00%00%00%00%00%00%00%00%00%00%00%00%84D%00,
/SAM/Domains/Account/Users/000003E8/V,BINARY,%00%00%00%00%D4%00%00%00%02%00%01%00%D4%00%00%00%1A%00%00%00%00%00%00%00%F0%00%00%00J%00%00%00%00%00%00%00<%01%00%00N%00%00%00%00%00%00%00%8C%01%00%00%00%00%00%00%00%00%00%00%8C%01%00%00%00%00%00%00%00%00%00%00%8C%01%00%00%00%00%00%00%00%00%00%00%8C%01%00%00%00%00%00%00%00%00%00%00%8C%01%00%00%00%00%00%00%00%00%00%00%8C%01%00%00%00%00%00%00%00%00%00%00%8C%01%00%00%00%00%00%00%00%00%00%00%8C%01%00%00%15%00%00%00%A8%00%00%00%A4%01%00%00%08%00%00%00%01%00%00%00%AC%01%00%00%14%00%00%00%00%00%00%00%C0%01%00%00%14%00%00%00%00%00%00%00%D4%01%00%00%04%00%00%00%00%00%00%00%D8%01%00%00%04%00%00%00%00%00%00%00%01%00%14%80%B4%00%00%00%C4%00%00%00%14%00%00%00D%00%00%00%02%000%00%02%00%00%00%02%C0%14%00D%00%05%01%01%01%00%00%00%00%00%01%00%00%00%00%02%C0%14%00%FF%07%0F%00%01%01%00%00%00%00%00%05%07%00%00%00%02%00p%00%04%00%00%00%00%00%14%00%1B%03%02%00%01%01%00%00%00%00%00%01%00%00%00%00%00%00%18%00%FF%07%0F%00%01%02%00%00%00%00%00%05 %00%00%00 %02%00%00%00%00%18%00%FF%07%0F%00%01%02%00%00%00%00%00%05 %00%00%00$%02%00%00%00%00$%00%04%00%02%00%01%05%00%00%00%00%00%05%15%00%00%00%92%E0<wT%19%0E)%A87%D6e%E8%03%00%00%01%02%00%00%00%00%00%05 %00%00%00 %02%00%00%01%02%00%00%00%00%00%05 %00%00%00 %02%00%00H%00e%00l%00p%00A%00s%00s%00i%00s%00t%00a%00n%00t%00%00%00R%00e%00m%00o%00t%00e%00 %00D%00e%00s%00k%00t%00o%00p%00 %00H%00e%00l%00p%00 %00A%00s%00s%00i%00s%00t%00a%00n%00t%00 %00A%00c%00c%00o%00u%00n%00t%00e%00A%00c%00c%00o%00u%00n%00t%00 %00f%00o%00r%00 %00P%00r%00o%00v%00i%00d%00i%00n%00g%00 %00R%00e%00m%00o%00t%00e%00 %00A%00s%00s%00i%00s%00t%00a%00n%00c%00e%00%00%00%FF%FF%FF%FF%FF%FF%FF%FF%FF%FF%FF%FF%FF%FF%FF%FF%FF%FF%FF%FF%FF%E0~%AD%01%02%00%00%07%00%00%00%01%00%01%00%005`%FCW%F2+%FB%EB%E0~%AD%BCT}%04%01%00%01%00{%BB%C6%87%AA_%D0%18%7Fj%D5%BF%89%B5VW%01%00%01%00%01%00%01%00,
/SAM/Domains/Account/Users/000003EA,KEY,,2004-08-19 22:35:21
/SAM/Domains/Account/Users/000003EA/F,BINARY,%02%00%01%00%00%00%00%00%00%00%00%00%00%00%00%00%00%00%00%00%00%00%00%00`%A2p%CE<%86%C4%01%00%00%00%00%00%00%00%00%00%00%00%00%00%00%00%00%EA%03%00%00%01%02%00%00%11%02%00%00%00%00%00%00%00%00%00%00%00%00%00%00%00%00%00%00%00%84D%00,
/SAM/Domains/Account/Users/000003EA/V,BINARY,%00%00%00%00%D4%00%00%00%02%00%01%00%D4%00%00%00 %00%00%00%00%00%00%00%F4%00%00%00h%00%00%00%00%00%00%00\%01%00%00v%00%00%00%00%00%00%00%D4%01%00%00%00%00%00%00%00%00%00%00%D4%01%00%00%00%00%00%00%00%00%00%00%D4%01%00%00%00%00%00%00%00%00%00%00%D4%01%00%00%00%00%00%00%00%00%00%00%D4%01%00%00%00%00%00%00%00%00%00%00%D4%01%00%00%00%00%00%00%00%00%00%00%D4%01%00%00%00%00%00%00%00%00%00%00%D4%01%00%00%00%00%00%00%00%00%00%00%D4%01%00%00%08%00%00%00%01%00%00%00%DC%01%00%00%04%00%00%00%00%00%00%00%E0%01%00%00%14%00%00%00%00%00%00%00%F4%01%00%00%04%00%00%00%00%00%00%00%F8%01%00%00%04%00%00%00%00%00%00%00%01%00%14%80%B4%00%00%00%C4%00%00%00%14%00%00%00D%00%00%00%02%000%00%02%00%00%00%02%C0%14%00D%00%05%01%01%01%00%00%00%00%00%01%00%00%00%00%02%C0%14%00%FF%07%0F%00%01%01%00%00%00%00%00%05%07%00%00%00%02%00p%00%04%00%00%00%00%00%14%00%1B%03%02%00%01%01%00%00%00%00%00%01%00%00%00%00%00%00%18%00%FF%07%0F%00%01%02%00%00%00%00%00%05 %00%00%00 %02%00%00%00%00%18%00%FF%07%0F%00%01%02%00%00%00%00%00%05 %00%00%00$%02%00%00%00%00$%00%04%00%02%00%01%05%00%00%00%00%00%05%15%00%00%00%92%E0<wT%19%0E)%A87%D6e%EA%03%00%00%01%02%00%00%00%00%00%05 %00%00%00 %02%00%00%01%02%00%00%00%00%00%05 %00%00%00 %02%00%00S%00U%00P%00P%00O%00R%00T%00_%003%008%008%009%004%005%00a%000%00C%00N%00=%00M%00i%00c%00r%00o%00s%00o%00f%00t%00 %00C%00o%00r%00p%00o%00r%00a%00t%00i%00o%00n%00%2C%00L%00=%00R%00e%00d%00m%00o%00n%00d%00%2C%00S%00=%00W%00a%00s%00h%00i%00n%00g%00t%00o%00n%00%2C%00C%00=%00U%00S%00T%00h%00i%00s%00 %00i%00s%00 %00a%00 %00v%00e%00n%00d%00o%00r%00'%00s%00 %00a%00c%00c%00o%00u%00n%00t%00 %00f%00o%00r%00 %00t%00h%00e%00 %00H%00e%00l%00p%00 %00a%00n%00d%00 %00S%00u%00p%00p%00o%00r%00t%00 %00S%00e%00r%00v%00i%00c%00e%00%00%00%01%02%00%00%07%00%00%00%01%00%01%00%01%00%01%00<%DB%B9%0E%CC#%11_W%96%11%C9`B%91%B8%01%00%01%00%01%00%01%00,
/SAM/Domains/Account/Users/000003EB,KEY,,2004-08-27 15:08:23
/SAM/Domains/Account/Users/000003EB/F,BINARY,%02%00%01%00%00%00%00%00%A0sF%B2G%8C%C4%01%00%00%00%00%00%00%00%00P^%EA%CC@%86%C4%01%FF%FF%FF%FF%FF%FF%FF%7F%00%00%00%00%00%00%00%00%EB%03%00%00%01%02%00%00%10%02%00%00%00%00%00%00%00%00%0F%00%01%00%00%00%00%00%08%00%C0%F6%06%00,
/SAM/Domains/Account/Users/000003EB/V,BINARY,%00%00%00%00%BC%00%00%00%02%00%01%00%BC%00%00%00%10%00%00%00%00%00%00%00%CC%00%00%00%00%00%00%00%00%00%00%00%CC%00%00%00%00%00%00%00%00%00%00%00%CC%00%00%00%00%00%00%00%00%00%00%00%CC%00%00%00%00%00%00%00%00%00%00%00%CC%00%00%00%00%00%00%00%00%00%00%00%CC%00%00%00%00%00%00%00%00%00%00%00%CC%00%00%00%00%00%00%00%00%00%00%00%CC%00%00%00%00%00%00%00%00%00%00%00%CC%00%00%00%00%00%00%00%00%00%00%00%CC%00%00%00%00%00%00%00%00%00%00%00%CC%00%00%00%08%00%00%00%01%00%00%00%D4%00%00%00%04%00%00%00%00%00%00%00%D8%00%00%00%14%00%00%00%00%00%00%00%EC%00%00%00%04%00%00%00%00%00%00%00%F0%00%00%00%04%00%00%00%00%00%00%00%01%00%14%80%9C%00%00%00%AC%00%00%00%14%00%00%00D%00%00%00%02%000%00%02%00%00%00%02%C0%14%00D%00%05%01%01%01%00%00%00%00%00%01%00%00%00%00%02%C0%14%00%FF%07%0F%00%01%01%00%00%00%00%00%05%07%00%00%00%02%00X%00%03%00%00%00%00%00$%00D%00%02%00%01%05%00%00%00%00%00%05%15%00%00%00%92%E0<wT%19%0E)%A87%D6e%EB%03%00%00%00%00%18%00%FF%07%0F%00%01%02%00%00%00%00%00%05 %00%00%00 %02%00%00%00%00%14%00[%03%02%00%01%01%00%00%00%00%00%01%00%00%00%00%01%02%00%00%00%00%00%05 %00%00%00 %02%00%00%01%02%00%00%00%00%00%05 %00%00%00 %02%00%00M%00r%00.%00 %00E%00v%00i%00l%00%01%02%00%00%07%00%00%00%01%00%01%00%01%00%01%00%DB%99%01%CE%00.%AA%F0_%E8%1E%AD%0A%CA%0E%C8%01%00%01%00%01%00%01%00,
